model / checkpoint,psi 0.7 mixed,psi 0.85 mixed,psi 1.0 mixed,psi 1.0 pure,psi 1.2 mixed,psi 1.2 pure,layered 1.0/1.2@3 pure,layered 1.0/1.2@3 pure +centers8,psi 1.2 pure +precision filter,layered 1.0/1.2@3 pure +max-1-flag filter,layered 1.0/1.2@3 pure +precision filter,layered 1.0/1.2@3 pure +zero-flag filter
sg2f/best,,,,,,,41.54,,,,,
divcfg_probe/last,,,33.96,,,,,,,,,
r1gamma5/last,23.97,,,,,,,,,,,
r1gamma10/best,,,22.71,,,,,,,,,
rebalance/best,,,,,,,18.60,,,,,
r1gamma5/best,21.29,,15.17,,,,,,,,,
divcfg2/best,,,12.55,,,,,,,,,
nocolorada/best,,13.08,11.25,10.41,10.46,10.76,10.20,10.22,10.35,,10.51,
wide_g2d15/best,,,,,,,9.00,,,,,
ppl4/best,,,,,,,8.90,,,,,
edgeD/best,,,,,,,,,,7.94,,
rebalance2/best,,,,,,,7.80,,,7.96,,8.57
rebalance3/best,,,,,,,7.17,,,,,
rebalance4/best,,,,,,,5.03,,,,,
sharp1@ep800/best,,,,,,,4.50,,,,,
mirror1/best,,,,,,,4.48,,,,,
mirror2/best,,,,,,,4.06,,,,,
sharp1@ep1200/best,,,,,,,3.90,,,,,
sharp1@ep1600/best,,,,,,,3.58,,,,,
